"filename", "language", "JSON with Comments", "JavaScript", "JSON", "Markdown", "Vue", "HTML", "XML", "comment", "blank", "total"
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\babel.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\jsconfig.json", "JSON with Comments", 8, 0, 0, 0, 0, 0, 0, 12, 0, 20
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\package-lock.json", "JSON", 0, 0, 24781, 0, 0, 0, 0, 0, 1, 24782
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\package.json", "JSON", 0, 0, 70, 0, 0, 0, 0, 0, 1, 71
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\public\assets\svg\corn-hybrid.svg", "XML", 0, 0, 0, 0, 0, 0, 46, 1, 0, 47
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\public\assets\svg\hamster.svg", "XML", 0, 0, 0, 0, 0, 0, 31, 1, 0, 32
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\public\assets\svg\remove.svg", "XML", 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\public\assets\svg\wall.svg", "XML", 0, 0, 0, 0, 0, 0, 14, 1, 0, 15
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\public\img\icons\safari-pinned-tab.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\public\index.html", "HTML", 0, 0, 0, 0, 0, 16, 0, 1, 1, 18
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\src\App.vue", "Vue", 0, 0, 0, 0, 75, 0, 0, 2, 7, 84
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\src\assets\js\Command.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 0, 10, 53
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\src\assets\js\Game-depr.js", "JavaScript", 0, 237, 0, 0, 0, 0, 0, 12, 61, 310
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\src\assets\js\Game.js", "JavaScript", 0, 269, 0, 0, 0, 0, 0, 3, 62, 334
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\src\assets\js\Request.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 1, 6, 29
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\src\assets\js\utils.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 1, 5, 27
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\src\assets\svg\corn-hybrid.svg", "XML", 0, 0, 0, 0, 0, 0, 46, 1, 0, 47
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\src\assets\svg\hamster.svg", "XML", 0, 0, 0, 0, 0, 0, 31, 1, 0, 32
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\src\assets\svg\remove.svg", "XML", 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\src\assets\svg\wall.svg", "XML", 0, 0, 0, 0, 0, 0, 14, 1, 0, 15
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\src\components\Editor\GroundEditor.vue", "Vue", 0, 0, 0, 0, 59, 0, 0, 3, 10, 72
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\src\components\ErrorMessage.vue", "Vue", 0, 0, 0, 0, 28, 0, 0, 0, 2, 30
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\src\components\GameBuilderBuildOption.vue", "Vue", 0, 0, 0, 0, 34, 0, 0, 0, 6, 40
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\src\components\HeaderVue.vue", "Vue", 0, 0, 0, 0, 44, 0, 0, 2, 4, 50
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\src\components\HelloWorld.vue", "Vue", 0, 0, 0, 0, 58, 0, 0, 1, 3, 62
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\src\components\LoginModule.vue", "Vue", 0, 0, 0, 0, 50, 0, 0, 41, 7, 98
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\src\components\RichEditor.vue", "Vue", 0, 0, 0, 0, 79, 0, 0, 3, 12, 94
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\src\components\UI\ButtonSwitch.vue", "Vue", 0, 0, 0, 0, 86, 0, 0, 0, 12, 98
